策略,最终净值,总收益率,年化收益率,Sharpe,Calmar,最大回撤,胜率,盈亏比,交易次数
Benchmark (Buy & Hold) [2024 全年],117945.10885999998,0.17945108859999978,0.1797636214326228,0.7555677720657601,1.3873110589264845,-0.118764728625546,0.0,0.0,0
Benchmark (Buy & Hold) [2025 全年],127625.57039999998,0.2762557039999998,0.2753121467990618,1.417070673828843,2.0333613391272296,-0.12802060400675974,0.0,0.0,0
Benchmark (Buy & Hold) [2024-2025 两年],146097.70885999998,0.46097708859999986,0.20839628361804685,0.9446030528905953,1.0446684904593753,-0.18512694255093698,0.0,0.0,0
Rotation(效率轮动) lb10_hp10_n2 [2024 全年],127835.73294000002,0.2783573294000002,0.27835732940000013,1.1246240881322767,2.102786558194956,-0.12524206433299037,0.5365853658536586,3.949543100657188,41
Rotation(效率轮动) lb10_hp10_n2 [2025 全年],136145.95224000007,0.36145952240000073,0.35973186116504374,1.5907701840785144,2.2483313939324434,-0.15332786887883576,0.7804878048780488,1.4612739454945753,41
Rotation(效率轮动) lb10_hp10_n2 [2024-2025 两年],168697.9253500001,0.6869792535000009,0.2981376233799613,1.327961156804866,2.260723063675813,-0.12524206433299037,0.6235294117647059,2.321172021707075,85
Rotation(效率轮动) lb10_hp10_n3 [2024 全年],122779.46293000002,0.22779462930000025,0.22779462930000016,0.9818674882304148,1.4260539598909951,-0.14921919877159892,0.625,3.0702128642513,56
Rotation(效率轮动) lb10_hp10_n3 [2025 全年],151303.8163,0.513038163,0.5104618451276819,2.2132585023122795,5.0858062221127565,-0.09742051181058488,0.8070175438596491,3.1512794978722285,57
Rotation(效率轮动) lb10_hp10_n3 [2024-2025 两年],158239.65983999995,0.5823965983999995,0.25733843239177334,1.1419811987545492,1.624043249037321,-0.14921919877159892,0.6610169491525424,2.0947413267868082,118
Rotation(效率轮动) lb20_hp20_n2 [2024 全年],126566.78100999999,0.2656678100999999,0.26566781009999985,0.8874850175789739,1.3449650071508779,-0.18637496794879807,0.7222222222222222,2.0447163929994563,18
Rotation(效率轮动) lb20_hp20_n2 [2025 全年],164934.75681999998,0.6493475681999998,0.6459547654664637,2.559883915564641,6.905314911157655,-0.09137233762459734,0.8235294117647058,6.039620876584652,17
Rotation(效率轮动) lb20_hp20_n2 [2024-2025 两年],195628.81067999997,0.9562881067999996,0.39770642365366093,1.4201809359238342,2.0534218080123297,-0.18637496794879807,0.717948717948718,4.53474355390694,39
Rotation(效率轮动) lb20_hp20_n3 [2024 全年],119654.89311000003,0.19654893110000032,0.19654893110000038,0.6581698558720148,0.8628901293029311,-0.2103963470374393,0.6666666666666666,1.833403930983987,24
Rotation(效率轮动) lb20_hp20_n3 [2025 全年],159496.90260000003,0.5949690260000003,0.5919076953492948,2.3749008732984067,5.142027739662351,-0.11219459025850707,0.8,9.18957102867767,25
Rotation(效率轮动) lb20_hp20_n3 [2024-2025 两年],177605.31600999995,0.7760531600999995,0.3318975170132319,1.165313845294585,1.506193056464241,-0.2103963470374393,0.6981132075471698,3.947564782069671,53
Rotation(效率轮动) lb20_hp20_n4 [2024 全年],120029.82654999997,0.20029826549999968,0.20029826549999963,0.7149873125729462,0.9727186189383925,-0.19049523869732315,0.696969696969697,1.873797248313908,33
Rotation(效率轮动) lb20_hp20_n4 [2025 全年],147809.91250999997,0.47809912509999963,0.4757241733528843,2.1446050737269395,4.215750341586616,-0.10928639886665792,0.8064516129032258,9.106491635240436,31
Rotation(效率轮动) lb20_hp20_n4 [2024-2025 两年],180373.28243,0.8037328242999999,0.34221475667108425,1.2799089524825364,1.7177056965239639,-0.19049523869732315,0.7285714285714285,3.7920452453278215,70
Rotation(效率轮动) lb30_hp20_n3 [2024 全年],123050.58645,0.23050586450000002,0.2305058645,0.7380775392147324,1.0252983889297846,-0.21018843570499204,0.76,2.328110066837542,25
Rotation(效率轮动) lb30_hp20_n3 [2025 全年],146387.53298,0.4638753297999999,0.4615813914418343,2.0042952306070903,4.197158285733785,-0.10640089342347948,0.7037037037037037,6.437466782291517,27
Rotation(效率轮动) lb30_hp20_n3 [2024-2025 两年],175059.40586,0.7505940586,0.32233659941591286,1.105185332390742,1.3411440081869528,-0.22916002870667915,0.7090909090909091,3.527849685745752,55
Rotation(效率轮动) lb20_hp10_n3 [2024 全年],135098.7622,0.350987622,0.3509876219999999,1.0236581821105672,1.5986519917761508,-0.21016933249287573,0.6326530612244898,3.118939767204092,49
Rotation(效率轮动) lb20_hp10_n3 [2025 全年],152667.32040000003,0.5266732040000003,0.5240174027908278,2.25122740966054,5.9510144708792785,-0.08553455974299103,0.8958333333333334,4.195492707618988,48
Rotation(效率轮动) lb20_hp10_n3 [2024-2025 两年],194270.93217000001,0.9427093217000001,0.3928571707268178,1.3155364278274984,1.7978701566253787,-0.21016933249287573,0.7070707070707071,3.1582535027747736,99
Rotation(纯动量轮动) lb20_hp20_n3 [2024 全年],115683.08171,0.1568308171,0.1568308170999999,0.539532702608658,0.6740166241971312,-0.21042628921644865,0.6333333333333333,2.016341381526219,30
Rotation(纯动量轮动) lb20_hp20_n3 [2025 全年],151108.14167000004,0.5110814167000004,0.5085164642309867,2.0724340383102224,4.795935681406733,-0.10290306147021339,0.7586206896551724,6.873848109061524,29
Rotation(纯动量轮动) lb20_hp20_n3 [2024-2025 两年],163990.52870999998,0.6399052870999998,0.27993501564332,0.9706090196003364,1.2590395269994168,-0.21042628921644865,0.6721311475409836,3.9224408037269987,61
DoubleMA ma5_20 [2024 全年],135894.77146,0.3589477145999999,0.35935504969057597,1.168390745383204,2.547681731229393,-0.13516407699968325,0.2631578947368421,5.17677249811448,19
DoubleMA ma5_20 [2025 全年],103822.13296999993,0.038221329699999335,0.03806108432088218,0.20845532742731784,0.2329172268334295,-0.09900978400955412,0.4090909090909091,5.556216665144476,22
DoubleMA ma5_20 [2024-2025 两年],136606.3143399999,0.36606314339999896,0.16858597817960752,0.7409983468151268,1.1362928789131408,-0.13516407699968325,0.32608695652173914,4.076000443934951,46
DoubleMA ma10_30 [2024 全年],142502.80794999993,0.42502807949999927,0.4250280794999992,1.3054015349987176,2.839433997223581,-0.14440486375134184,0.4444444444444444,3.6271337769971743,9
DoubleMA ma10_30 [2025 全年],119433.64924999999,0.19433649249999987,0.19346395883527379,0.9909190681717264,1.6058098378144743,-0.11113642140726032,0.4444444444444444,6.330362026209192,9
DoubleMA ma10_30 [2024-2025 两年],160723.54355999987,0.6072354355999987,0.26714786561922255,1.0316724797402028,1.453139748980478,-0.17351935063102453,0.4444444444444444,4.430249920343021,18
DoubleMA ma5_60 [2024 全年],136928.34526,0.3692834526,0.36928345259999995,1.1515876096016453,2.060311406851748,-0.17195626419472268,0.2,2.4011515952059383,5
DoubleMA ma5_60 [2025 全年],81522.85384999998,-0.18477146150000015,-0.18408582180960753,-1.5795536522550437,-0.8273184798883987,-0.240639882523189,0.18181818181818182,2.7815710964517124,11
DoubleMA ma5_60 [2024-2025 两年],105407.02038000005,0.05407020380000045,0.02662347720543501,0.1415177522851355,0.031824109144141896,-0.36524124376234524,0.2,5.313361117233736,15
TripleMomentum b24_m25_s20_h20 [2024 全年],116770.13423999997,0.1677013423999997,0.1677013423999998,0.6035979717590897,0.6419611302890431,-0.23786695984419798,0.5555555555555556,1.3877796281098258,9
TripleMomentum b24_m25_s20_h20 [2025 全年],169478.90160999997,0.6947890160999998,0.6911135836341473,2.172917677187346,5.682744525050235,-0.11897659320311792,0.7142857142857143,5.905653166908084,7
TripleMomentum b24_m25_s20_h20 [2024-2025 两年],202120.22788999998,1.0212022788999997,0.4206589379062169,1.325343837521787,1.705402625786793,-0.23786695984419798,0.6111111111111112,2.495635599678648,18
